category,text,text_final
weather,Will it be misty in Los Angeles today?,"['misty', 'los', 'angeles', 'today']"
schedule,What time is my next swimming activity and who will be attending?,"['time', 'next', 'swim', 'activity', 'who', 'attend']"
weather,what will the temperature be for the next week,"['temperature', 'next', 'week']"
navigate,Can you find me a shopping center?,"['find', 'shop', 'center']"
schedule,when am i playing tennis,"['when', 'play', 'tennis']"
navigate,Can you find me a rest stop. I'm tired. ,"['find', 'rest', 'stop', '.', ""'m"", 'tire', '.']"
weather,Is it humid in Compton now?,"['humid', 'compton']"
navigate,Please give me the address and directions via a route that avoids all heavy traffic to a grocery store. ,"['please', 'give', 'address', 'directions', 'via', 'route', 'avoid', 'heavy', 'traffic', 'grocery', 'store', '.']"
navigate,I need the fastest route to the hospital.,"['need', 'fastest', 'route', 'hospital', '.']"
weather,What's the highest temperature going to be in Cleveland this week?,"[""'s"", 'highest', 'temperature', 'go', 'cleveland', 'week']"
weather,what is the forecast for today's weather,"['forecast', 'today', ""'s"", 'weather']"
weather,what is the weather like today in tomorrow,"['weather', 'like', 'today', 'tomorrow']"
schedule,Schedule a dentist appointment at 3 pm on the 11th of this month with father. ,"['schedule', 'dentist', 'appointment', '3', 'pm', '11th', 'month', 'father', '.']"
weather,what's the weekly weather report for the city,"[""'s"", 'weekly', 'weather', 'report', 'city']"
schedule,"What is the date, agenda, and time of my next meeting.","['date', 'agenda', 'time', 'next', 'meet', '.']"
schedule,when is my dentist appointment,"['when', 'dentist', 'appointment']"
weather,Is it dry in Fresno right now?,"['dry', 'fresno', 'right']"
schedule,remind me that i have a meeting at work on the 12th at 5 pm in conference room 100,"['remind', 'meet', 'work', '12th', '5', 'pm', 'conference', 'room', '100']"
schedule,make a reminder for me to pick up my prescription later today,"['make', 'reminder', 'pick', 'prescription', 'later', 'today']"
weather,Will there be frost in Durham next week?,"['frost', 'durham', 'next', 'week']"
navigate,"I need to find a gas station fast, we are about out. ","['need', 'find', 'gas', 'station', 'fast', '.']"
