category,text
weather,Will it be misty in Los Angeles today?
schedule,What time is my next swimming activity and who will be attending?
weather,what will the temperature be for the next week
navigate,Can you find me a shopping center?
schedule,when am i playing tennis
navigate,Can you find me a rest stop. I'm tired. 
weather,Is it humid in Compton now?
navigate,Please give me the address and directions via a route that avoids all heavy traffic to a grocery store. 
navigate,I need the fastest route to the hospital.
weather,What's the highest temperature going to be in Cleveland this week?
weather,what is the forecast for today's weather
weather,what is the weather like today in tomorrow
schedule,Schedule a dentist appointment at 3 pm on the 11th of this month with father. 
weather,what's the weekly weather report for the city
schedule,"What is the date, agenda, and time of my next meeting."
schedule,when is my dentist appointment
weather,Is it dry in Fresno right now?
schedule,remind me that i have a meeting at work on the 12th at 5 pm in conference room 100
schedule,make a reminder for me to pick up my prescription later today
weather,Will there be frost in Durham next week?
navigate,"I need to find a gas station fast, we are about out. "
navigate,Car I'm desiring to do some shopping: which one is it the nearest shopping center? Anything within 4 miles?
schedule,I need to schedule Yoga with Martha. 
navigate,"Car I need to get home, it should be near me, please highlight its position on the map"
schedule,Set a reminder for tennis on August 3rd at 11am with my aunt
navigate,"Give me the address and directions by the route with no traffic to home, please. "
navigate,Where is a parking garage without heavy traffic?
schedule,make an appointment for me to get my laboratory results later this week
schedule,Tell me about my lab appointment
schedule,what time is my lab appointment for
weather,show me this week's forecast
weather,what is the forecast for the city this week
weather,Will it be overcast in Cleveland on Sunday?
navigate,where are the nearest coffee shops
schedule,What is the date and time for my scheduled dinner this week with Sue.
navigate,navigate to my friend's home please
schedule,when is my next conference
schedule,schedule my eye doctor appointment
navigate,take me to the nearest shopping center
weather,tell me what the temperature will be like for the next week
schedule,schedule meeting
schedule,what time is my appointment today
weather,please tell me the weather for today and what the weather will be tomorrow
schedule,Schedule a dentist appointment for tomorrow at 2pm. Marie is coming along
schedule,Set an optometrist appointment for Saturday. 
schedule,tell me when my dentist appointment is
navigate,Can you find me a coffee place near me?
weather,is the weather cloudy right now
navigate,Any chinese restaurant around me?
navigate,Where can I get tea?
navigate,take me to the nearest hotel
weather,is it going to be cloudy in the next 7 days
schedule,Who is attending my swimming activity and when is it?
weather,check forecast for today and tomorrow
schedule,schedule a meeting for monday the 1st
navigate,Car my friends' house should be in the area: do you see it on your map?
weather,what's the weekly forecast
schedule,"What is the time and agenda for my meeting, and who is attending?"
navigate,Quickest route to home please.
schedule,Who is going to play tennis with me? 
schedule,what's on the agenda for today's meeting
weather,what's the weather like this week
schedule,What day and time is tennis?
schedule,"What is the date, time, and agenda for my next conference? "
schedule,Schedule a 6 pm meeting with my boss to go over the quarterly report on Tuesday.
navigate,Where is the nearest chinese restaurant?
navigate,I need to get groceries.
weather,what is the weather like in boston
weather,what is the weather like in new york city
weather,what's the forecast for the city this week
schedule,"Hello car, can you schedule a conference for 4pm, this month on the 11th with HR?"
schedule,"Set a reminder for a lab appointment at 6 pm on Sunday, August 8th with sister. "
schedule,What is the date and time of my doctor appointment?
navigate,Address to the gas station 
navigate,Where are the pizza places around here?
weather,what is the weather for next week
weather,Find out if it will be cloudy on Monday in Cleveland.
navigate,find me a nearby shopping mall shopping center
navigate,Car I want to do some shopping in some local shopping center: is there any nearby?
schedule,Schedule a meeting on the 2nd at 3 pm with the infrastructure team to go over quarterly reports. 
weather,Will it be misty in compton the next seven days?
schedule,What is the date of my lab appointment and who will be attending it?
weather,what's the weather like this week
schedule,What time is my next dinner and who will be attending it?
schedule,i need to make an appointment to get lab testing done on a certain date
navigate,Car please show me my home in the map and pick a route with no traffic
navigate,"Car I need to get to some rest stop, I'm tired, please find something in the local area"
weather,What is the forecast for Seattle for the next 48 hours?
weather,is there any rain in the local forecast
schedule,Set a reminder for a lab appointment on the 13th at 4PM with Jeff.
schedule,Find out the parties attending and the time for my soonest lab appointment. 
navigate,Where is the closest rest stop?
navigate,"Car I need to get to my friends house, it should be around here: could you please show on the map the fastest road to get there?"
weather,check the weather for the 7 day forecast
navigate,take me to the closest whole foods place i can buy groceries
schedule,find out what time my eye doctor appointment is
navigate,Where is home 
navigate,can you please take me to a coffee house
weather,what is the weather going to be like tomorrow show me the 7 day forecast
schedule,check to see if i have any meetings or conferences in the near future
schedule,remind me to watch the football game on the 1st
schedule,When is the next yoga lesson and who is coming with me?
navigate,I need a rest stop.
navigate,"Car I need to go back home, it's in the area, please pick a route with no traffic"
schedule,schedule a blood test
weather,what is the weather forecast in the city
navigate,Where does  my friend live?
navigate,Car I need to reach my friends house in this local area: pick the route with the shortest distance too please
weather,what's the weather going to be like for this week
navigate,find me chinese restaurants within 3 miles of my current location
schedule,I would like to schedule a meeting at 5 PM on August 3rd with HR to discuss dress code.
navigate,What is the rest stop with the quickest route nearby?
navigate,Find pizza.
navigate,I need the quickest route to a shopping center. 
navigate,Please give me the address and directions via the fastest route to a pizza restaurant within 4 miles of me. 
navigate,Find the address to my home in the local area.
weather,give me the weekly weather forecast
navigate,Quickly find me the closest chinese restaurant to my location.
navigate,i need directions to the restaurant
schedule,What is the date of my lab appointment and who is coming with me .
navigate,give me directions to the local coffee shop
navigate,find directions to home
schedule,When is my football activity and who is attending?
weather,what is the forecast in my city
weather,what will the weather be like in the city
schedule,What time is the swimming party and who is attending?
navigate,What is the address for home? 
schedule,Reminder for optometrist. 
navigate,get me directions to the nearest coffee shop
navigate,show me directions to the nearest grocery store
weather,is there a chance of snow in this weeks weather forecast
navigate,find the nearest parking garage
weather,what's the temperature
schedule,What is the date and time of my optometrist appointment?
schedule,Schedule a yoga activity with my father on the 3rd at 3 pm.
schedule,Please schedule a reminder for my doctor appointment at 11am on August 3rd with Alex.
schedule,"Remind me about a optometrist appointment on Tuesday at 2 pm, my sister will be coming"
weather,what is the weather like today
schedule,schedule a meeting for monday the 1st
schedule,remind me i have a tennis match on the 12th
weather,how warm is it outside right now
schedule,put my doctor's appointment on my calendar
schedule,i need to schedule a conference room
schedule,what is the date location and time of my next conference
schedule,Schedule a optometrist appointment on the 7th at 2 pm with Jon. 
weather,check the weather for chances of snow
navigate,give me the closest fast food restaurant
navigate,Where are there Chinese restaurants around?
navigate,Where can I get Chinese food?
navigate,tell me the best route to get home with the least amount of traffic
navigate,I need the closest parking garage. 
navigate,please give me directions to a nearby parking garage parking lot
weather,is it going to snow next week
schedule,can you tell me the next day that i have an appointment with the eye doctor
schedule,When is my yoga?
weather,what will the temperature be for the next week
weather,Will it be warm in Grand Rapids on Saturday?
navigate,get me directions to the nearest chinese restaurant
navigate,Car I need to go to a grocery store
navigate,where's the nearest place to get lunch
schedule,check the date and time for my swim lesson
schedule,Schedule a lab appointment at 6 pm on August 3. Alex is coming along
weather,what's the weather like in grand rapids
schedule,when's my next scheduled yoga class
navigate,take me to the closest whole foods place i can buy groceries
schedule,Set an event for football game this week at 5pm with my brother. 
weather,Is the weather overcast in grand rapids now?
schedule,Schedule a dentist appointment with Jeff for next Wednesday at 1pm.
schedule,What is the date for my doctor appointment and who is attending?
navigate,take me to the nearest grocery store
schedule,Schedule a reminder for football with Ana on the 15th of this month at 11am.
schedule,what time is my doctor's appointment
schedule,tell me when my dinner reservations are scheduled for
schedule,What is the date and time for my dentist appointment?
navigate,I need to go home and avoid the heavy traffic. 
schedule,Set a reminder for dinner at 3PM on Sunday with my aunt.
weather,find out if it's supposed to rain
navigate,find the fastest direction to home
weather,What is the highest temperature in Brentwood over the next two days?
schedule,Please set a reminder to take medicine at 7pm Tuesday with Ana.
weather,is it going to rain at all this upcoming week
weather,Will it be windy in Corona on Wednesday?
navigate,please give me directions to a nearby parking garage parking lot
schedule,What time is my tennis match and who is it with? 
weather,Will it be dry in Durham today?
weather,Is there any dew in the forecast over the next few days in Durham?
navigate,Where can I get groceries?
schedule,Schedule a football activity at 10 am on the 29th with my aunt.
navigate,where is the closest grocery store
schedule,schedule my tennis class
weather,what is the weather forecast for the next 7 days
weather,what's the weekly weather report for the city
schedule,"Can you please find me the time, date, and what is planned for the next meeting I have scheduled in my calendar?"
weather,Will it drizzle in Redwood City on Tuesday?
schedule,"Set a reminder for my dentist appointment tomorrow at 9 am, with Tom"
schedule,tell me the time of today's football game
schedule,find out when my next conferences
weather,Over the next few days in camarillo will there be any rain?
schedule,What time is the doctors appointment and who is attending?
weather,what is the forecast in my city
weather,what is the weather for next week
schedule,Can you find out the parties attending and time for my optometrist appointment? 
schedule,Schedule a conference with the executive team at 5 pm on the 6th .
schedule,what time is the group meeting
schedule,Please give me information about my conference. 
navigate,where can i find tea around me
schedule,tell me the time and date that my next tennis game is scheduled at
navigate,find a tea shop
